ano,idFuncao,nomeFuncao,valorPago
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,4708.3
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,21693
2015,2,JUDICIARIA,48985.3
2015,2,JUDICIARIA,211
2015,2,JUDICIARIA,416
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,38890
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,89007.1
2015,2,JUDICIARIA,12000
2015,2,JUDICIARIA,434730
2015,2,JUDICIARIA,1556190
2015,2,JUDICIARIA,93.85
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,52532.9
2015,2,JUDICIARIA,2887.64
2015,2,JUDICIARIA,3580
2015,2,JUDICIARIA,2693
2015,2,JUDICIARIA,1110
2015,2,JUDICIARIA,1553000
2015,2,JUDICIARIA,583.33
2015,2,JUDICIARIA,21756.8
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,158771
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0.75
2015,2,JUDICIARIA,406400
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,39582.7
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,2785430
2015,2,JUDICIARIA,1250.98
2015,2,JUDICIARIA,614.37
2015,2,JUDICIARIA,1299.22
2015,2,JUDICIARIA,711114
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,157
2015,2,JUDICIARIA,32830
2015,2,JUDICIARIA,2400
2015,2,JUDICIARIA,8821.5
2015,2,JUDICIARIA,102902
2015,2,JUDICIARIA,5618.44
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,128491
2015,2,JUDICIARIA,1067900
2015,2,JUDICIARIA,40950500
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,2793.19
2015,2,JUDICIARIA,680695
2015,2,JUDICIARIA,9856480
2015,2,JUDICIARIA,421636
2015,2,JUDICIARIA,309682
2015,2,JUDICIARIA,1692710
2015,2,JUDICIARIA,2654.4
2015,2,JUDICIARIA,59.5
2015,2,JUDICIARIA,1741
2015,2,JUDICIARIA,123254
2015,2,JUDICIARIA,212821
2015,2,JUDICIARIA,1219
2015,2,JUDICIARIA,2618
2015,2,JUDICIARIA,1383.36
2015,2,JUDICIARIA,1567350
2015,2,JUDICIARIA,19674.3
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,54141.7
2015,2,JUDICIARIA,1532.2
2015,2,JUDICIARIA,3991.92
2015,2,JUDICIARIA,74546.9
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,2086.24
2015,2,JUDICIARIA,378.23
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,99.42
2015,2,JUDICIARIA,190424
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,1781.55
2015,2,JUDICIARIA,40195.8
2015,2,JUDICIARIA,3288580
2015,2,JUDICIARIA,607.75
2015,2,JUDICIARIA,35737.8
2015,2,JUDICIARIA,79.14
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,7969.5
2015,2,JUDICIARIA,1904.45
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,397.29
2015,2,JUDICIARIA,5532.56
2015,2,JUDICIARIA,23114.3
2015,2,JUDICIARIA,283326
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,3900
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,9000
2015,2,JUDICIARIA,155050
2015,2,JUDICIARIA,7995.1
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,94491.2
2015,2,JUDICIARIA,224
2015,2,JUDICIARIA,126494
2015,2,JUDICIARIA,7
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,3999.64
2015,2,JUDICIARIA,1179.9
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,3237.67
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,189532
2015,2,JUDICIARIA,3997.78
2015,2,JUDICIARIA,1425330
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,1665370
2015,2,JUDICIARIA,12000
2015,2,JUDICIARIA,2453.2
2015,2,JUDICIARIA,10500
2015,2,JUDICIARIA,26996.9
2015,2,JUDICIARIA,22900
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,6780
2015,2,JUDICIARIA,3985.87
2015,2,JUDICIARIA,4136.45
2015,2,JUDICIARIA,1500
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,12339.1
2015,2,JUDICIARIA,70267.8
2015,2,JUDICIARIA,12304.8
2015,2,JUDICIARIA,673.13
2015,2,JUDICIARIA,35300
2015,2,JUDICIARIA,2819.1
2015,2,JUDICIARIA,24438.1
2015,2,JUDICIARIA,1495.32
2015,2,JUDICIARIA,107800
2015,2,JUDICIARIA,10173.1
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,61566.6
2015,2,JUDICIARIA,2332940
2015,2,JUDICIARIA,62474.6
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,8708450
2015,2,JUDICIARIA,36134300
2015,2,JUDICIARIA,4725050
2015,2,JUDICIARIA,394913
2015,2,JUDICIARIA,1086540
2015,2,JUDICIARIA,5612090
2015,2,JUDICIARIA,4990.46
2015,2,JUDICIARIA,4173.36
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,21.7
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,1040
2015,2,JUDICIARIA,50800.9
2015,2,JUDICIARIA,824
2015,2,JUDICIARIA,64392.2
2015,2,JUDICIARIA,161078
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,770
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,21407.6
2015,2,JUDICIARIA,8973.19
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,3551.45
2015,2,JUDICIARIA,2106
2015,2,JUDICIARIA,16198.9
2015,2,JUDICIARIA,1086430
2015,2,JUDICIARIA,10168
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,314
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,456.5
2015,2,JUDICIARIA,28533.6
2015,2,JUDICIARIA,164.99
2015,2,JUDICIARIA,2641.29
2015,2,JUDICIARIA,3177.57
2015,2,JUDICIARIA,4464.08
2015,2,JUDICIARIA,2080.4
2015,2,JUDICIARIA,215197
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,10823900
2015,2,JUDICIARIA,5140000
2015,2,JUDICIARIA,20000
2015,2,JUDICIARIA,2998.5
2015,2,JUDICIARIA,1671100
2015,2,JUDICIARIA,3076.6
2015,2,JUDICIARIA,1336640
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,72592000
2015,2,JUDICIARIA,100647
2015,2,JUDICIARIA,72924.9
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,24383.9
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,1500
2015,2,JUDICIARIA,4700
2015,2,JUDICIARIA,3000
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,2500
2015,2,JUDICIARIA,13146100
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,495
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,1134050
2015,2,JUDICIARIA,2046.27
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,35543.9
2015,2,JUDICIARIA,40059.9
2015,2,JUDICIARIA,21355.6
2015,2,JUDICIARIA,14707.5
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,14241.1
2015,2,JUDICIARIA,8931.53
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,2080
2015,2,JUDICIARIA,193
2015,2,JUDICIARIA,3030.3
